(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(-inf; 2.85],0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(-inf; 4.95],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(4.95; 5.85],(2.85; inf),0
(5.85; inf),(2.85; inf),2
(4.95; 5.85],(-inf; 2.85],2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(-inf; 4.95],(-inf; 2.85],2
(5.85; inf),(2.85; inf),2
(5.85; inf),(-inf; 2.85],2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(5.85; inf),(-inf; 2.85],2
(5.85; inf),(2.85; inf),2
(4.95; 5.85],(-inf; 2.85],2
(4.95; 5.85],(-inf; 2.85],2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(5.85; inf),(-inf; 2.85],2
(5.85; inf),(-inf; 2.85],2
(5.85; inf),(2.85; inf),2
(4.95; 5.85],(-inf; 2.85],2
(5.85; inf),(-inf; 2.85],2
(5.85; inf),(-inf; 2.85],2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(5.85; inf),(-inf; 2.85],2
(5.85; inf),(2.85; inf),2
(5.85; inf),(-inf; 2.85],2
(5.85; inf),(2.85; inf),2
(5.85; inf),(-inf; 2.85],2
(5.85; inf),(2.85; inf),2
(5.85; inf),(-inf; 2.85],2
(5.85; inf),(-inf; 2.85],2
(5.85; inf),(-inf; 2.85],2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(4.95; 5.85],(-inf; 2.85],2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(5.85; inf),(-inf; 2.85],2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
(5.85; inf),(2.85; inf),2
