(-inf; 8.5],(-inf; 2.45],(-inf; 5],1
(-inf; 8.5],(-inf; 2.45],(-inf; 5],1
(-inf; 8.5],(2.65; inf),(-inf; 5],1
(-inf; 8.5],(2.65; inf),(-inf; 5],1
(-inf; 8.5],(2.65; inf),(-inf; 5],1
(-inf; 8.5],(2.65; inf),(-inf; 5],1
(-inf; 8.5],(2.65; inf),(-inf; 5],1
(-inf; 8.5],(2.65; inf),(-inf; 5],1
(-inf; 8.5],(2.65; inf),(-inf; 5],1
(-inf; 8.5],(2.65; inf),(5; inf),2
(-inf; 8.5],(2.65; inf),(5; inf),2
(-inf; 8.5],(2.65; inf),(5; inf),2
(-inf; 8.5],(2.65; inf),(5; inf),2
(-inf; 8.5],(2.65; inf),(5; inf),2
(-inf; 8.5],(2.65; inf),(5; inf),2
(-inf; 8.5],(2.45; 2.65],(-inf; 5],2
(-inf; 8.5],(2.65; inf),(5; inf),2
(-inf; 8.5],(2.45; 2.65],(5; inf),2
(-inf; 8.5],(2.65; inf),(5; inf),2
(-inf; 8.5],(2.65; inf),(5; inf),2
(8.5; inf),(2.45; 2.65],(-inf; 5],3 
